utterance,persona_sentence,label
"you should get into horses , great money .",i was raised on a large horse ranch .,positive
nice ! i live alone and recently had some minor surgery .,i just had surgery .,positive
i am still in college . single since my friend to my boyfriend in high school .,my best friend took my boyfriend in high school .,positive
i am in the army . i joined right after high school .,i went into the army after high school .,positive
"i am a biology teacher , i love music helps me relax between papers .",i teach biology at a college .,positive
i want to write books myself .,my ethnicity is .,positive
i just put my little sister to bed too . how old are your kids ?,i am color blind and live with my little sister .,positive
"yeah , my mom is a vegetarian . she works as a secretary .",my mom is a secretary .,positive
"yes , i am somewhat furry . hairy , if you will .",i love anything with fur .,positive
it is rainy here . i am in new york .,i do not drive because i live in new york .,positive
i have never met anyone who knew that . do you like candy .,i like to eat candy .,positive
i am an old baby boomer . not too great at dancing anymore .,i am what people call a baby boomer .,positive
nice . yes i do . caring for people is the joy of my life .,i love caring for people .,positive
very cool ! i need to get my honda civic in the shop for annual service .,i drive a honda civic .,positive
watching one tree hill is relaxing for me .,i love to watch one tree hill .,positive
i have scotch to chill out at night .,i like to drink scotch to relax .,positive
used to with my parents . not now because when i was in high school i dropped out .,i dropped out of high school .,positive
hi ! no i am not . i actually just finished my education to be a registered nurse .,i have just completed my education as registered nurse .,positive
i lift weights every chance i get .,i lift weights every weekend .,positive
no . so i think i will read a book . probably about traveling .,one day i want to go all over the world .,positive
"because i have a ford truck , i go to mass every sunday and enjoy hunting lol .","i have a 3006 , a winchester long and a shot gun i chase deer whenever i can .",positive
"wow , you need a hobby to get away , like jujitsu or running .",i run to relieve stress .,positive
i do not exactly work . i mostly play games online and dress up as a furry .,i am a furry .,positive
o i work for an animal shelter .,i currently work in an animal shelter as a kennel cleaner .,positive
i am a sappy romantic novelist .,i am a writer .,positive
"hm , not my expertise , only hobby of mine is trying barbeque restaurants .",i love trying barbeque restaurants .,positive
i have a wild imagination . sea creatures are my friends and i explore with them .,i have dinner with my family and then go out play with friends .,positive
i did not multitasking was a body building thing . i love to drink iced tea .,my favourite drink is iced tea .,positive
i just worry about how people harm the environment .,i am worried about the environment .,positive
yeah it is tough they disowned me at age 12 and now i am 20 .,my parents did not want me .,positive
not sure yet . i am learning jujitsu too but its still quite hard .,i am learning jujitsu but am still new to it .,positive
i am glad i am no longer in elementary .,i just graduated from college two years ago .,positive
i grew up in new york . i moved away when my parents died two years ago .,my parents passed away two years ago .,positive
same . i much prefer the company of my dog over people !,i have a dog named max .,positive
that is interesting . i am still in college but i hope to become a teacher .,i am taking college and hoping to be a teacher .,positive
i love to eat red meat .,i eat meat .,positive
"no , , but i work in a program that helps and mentors teens .",i work in a program that mentors troubled teens .,positive
i grew up in wisconsin and we used to have a lot of pets with a cold .,i grew up in wisconsin .,positive
"a little bit , yeah . also , i do own a grocery store !",i work in a grocery store .,positive
yes i wish you the very best i am a good skater .,i am a professional skater .,positive
"my father was in the korean war , we are a patriotic family .",i am proud to be an american .,positive
i do . i am vegan so its hard to order . i love cooking at home tho .,i am a vegan .,positive
my parents are in bora bora and i work in fast food .,my parents are living in bora bora .,positive
oh yes that makes sense . i am glad i can listen to country while i work .,i listen to country music .,positive
"i love sports , specifically soccer .",my favorite sport is soccer .,positive
i teach biology at a college .,i work as a kindergarten teacher .,positive
definitely . i love country music especially .,i listen to country music .,positive
"i like board games , do you have a hobby ?",my favorite hobby is playing board games .,positive
sounds like a lot of physical work . i spend time with my 2 dogs for fun .,i love animals and have two dogs .,positive
i love running it is a stress reliever .,i run to relieve stress .,positive
"yes , it does ! also , i was just hanging with my wife and 3 girls .",i have a wife and three kids .,positive
"hello , i am good . i was drinking my favorite drink ice tea .",i like drinking cold drinks .,positive
i love to run around and get out my energy .,i love to run .,positive
i am not dating anyone .,i have never been married .,positive
i am doing very well . looking at travel brochures .,i want to travel to europe .,positive
"on my spare time , i like to watch the office . it is my favorite .",my favorite tv show is the office .,positive
i like making barbecue .,i also enjoy cooking meals with food from our garden .,positive
i am good just spending time with my dog . how are you .,i have a german shepherd .,positive
i am conservative also by buying american vehicles such as my ford pickup truck .,i travel using a large vehicle .,positive
"as a homeschooled student , i am home as well .",i am homeschooled .,positive
i like running .,i run during the week .,positive
i run during the week .,i like running .,positive
i enjoy teaching . currently a 3rd grade teacher .,i work as a teacher .,positive
yea my dog is like my second brother since i only have one .,i have one brother .,positive
i live in seattle with two derelicts . they drink all the time .,i share an apartment in seattle with two roommates .,positive
my two cats think they own the island .,i am a kitty lover .,positive
"i certainly am , i am part native american , i live here in oklahoma .",i am native american and live in oklahoma .,positive
mine was an officer in the military . my husband is an officer .,my father served in our military in the war .,positive
i am so excited i just got engaged !,i am engaged to be married .,positive
great ! just coding for apple . and drinking an iced tea .,i enjoy coding such as web design .,positive
aww sweet some of my friends have dogs i enjoy being with them .,i love to hang out with my friends .,positive
i love listen to rap music with my family and eat pizza .,my favorite food is pizza .,positive
where do you live ? i am from edris island .,i live on edris island .,positive
i would read it if it were a fantasy book .,i want to write fantasy books myself .,positive
"yes i enjoy walking but i have a disability so its hard . i cant work , either .",i am unable to work at a job because of a disability .,positive
that is awesome ! ! i worked at a carnival once upon a time .,i used to work at a carnival .,positive
"i understand that , i cannot stand cats . yep , 12 hour shifts !",i hate cats .,positive
"the kind where i do not work , but play poker , love poker .",i like playing poker .,positive
good . just a long day in middle school ! how old are you ?,i go to middle school .,positive
"oh really ? i do as well , i am a teacher . what do you do ?",i work as a teacher .,positive
i see . my husband owns his own business .,my husband runs his own business .,positive
"as a 22 year old woman , i can eat whatever i want .","on my last birthday , i turned twenty two .",positive
"thanks , i am an only child and its very challenging on my own .",i am an only child .,positive
they are designs i want to learn to draw .,i want to learn how to draw .,positive
i love to write romance books .,i write romance novels .,positive
"i am a nurse , my mom is also a nurse , an army nurse .",my mother was an army nurse .,positive
okay well i work in healthcare what about you .,i work in the healthcare industry .,positive
i will be a lawyer .,i am studying to be a lawyer .,positive
i got my cat out of a tree once .,i am a kitty lover .,positive
really i love poetry . what kind do you write .,i am an animal lover .,positive
my fav is blue an my truck i drive is blue .,my favorite color is blue .,positive
i am only 28 but i am a mamas boy who taught me to eat healthy .,i am a twenty eight year old male .,positive
i like things like coding for web design .,i enjoy coding such as web design .,positive
eggs are not vegan lol . but i am on disability for my bad back .,i am a vegan .,positive
i have long wavy hair what about you ?,i have a tail as a feet and long wavy hair .,positive
"i go skating on sundays . hoping new york has good parks , i am moving there .",i am a surfer and a skater .,positive
"its difficult being so young and all , i zone out and listen to pink floyd .",i enjoy listening to the dark side of the moon album .,positive
i enjoy a good book after working out .,i like reading .,positive
that is awesome ! i am violent . i love violence and martial arts !,i am a violent person .,positive
"haha , that is good ! does that mean you are active and play sports like me ?",i love playing sports and being active .,positive
i do not . i spend all of my time playing frisbee .,i love playing frisbee .,positive
they do not have kindergarten in canada .,my family is from canada .,positive
"no they do not serve that here , but they do in puerto rico , was born there .",i was born in puerto rico .,positive
it is a larp game on the internet .,i spend a lot of time online .,positive
"that is cool , i have got a brother but no kids yet .",i have one brother .,positive
i hear you . i miss my parents back in australia .,my parents live in australia .,positive
do you like animals ? i have both cats and dogs .,i have three cats and two dogs .,positive
oh . i am a young girl of mixed race .,i am a young mixed race girl .,positive
i hate all animals to be honest .,i do not like animals .,positive
i do not animals . i do not know a lot about them .,i do not like animals .,positive
dogs are my favorite animal .,i love dogs but hate cats .,positive
i keep it pretty short . otherwise it gets too curly .,i am five feet tall .,positive
it is nice . to help people as a nurse too i understand peoples pain .,i cannot wait to get my first full time job as a nurse .,positive
i am major meat eater to build muscles .,i could never be a vegetarian .,positive
i like to put on so old john denver and workout myself .,my favorite musician is john denver .,positive
i am sad . my parents were never around when i was young .,my parents were always gone when i was growing up .,positive
new york . i jut bought a house !,i have purchased a home .,positive
"lucky you ! i spend so much time on the beach , i want to look good .",i love the beach .,positive
me too . i am an office secretary . what do you do ? ?,i work in an office as a secretary .,positive
hi ! do you want to be friends ? i do not have many .,i do not have many friends .,positive
same here ! my sister and i read each other our poetry .,i read a lot of poetry .,positive
"my brothers and i live in chicago , the folks are from arkansas .",i live with my two brothers in an apartment in chicago .,positive
are you a teacher ? i go to school myself . . . for hairdressing .,i am going to hairdresser school .,positive
"sorry to hear that . i have a father only , wish i have a spouse .",i have a father and a brother .,positive
"a sister in california , where we grew up . i am in florida now . you ?",i am originally from california but i live in florida .,positive
"dogs really scares me , i live in an apartment that i rent .",i am scared of dogs .,positive
i love pink floyd .,i enjoy listening to the dark side of the moon album .,positive
i doubt it . karaoke probably is not their thing .,my hobby is singing to my favorite songs for karaoke .,positive
"well , i am still young enough to not worry about the long term affects of meds .",i am not yet old .,positive
i enjoying listening to art .,feline pets are always entertaining .,positive
nirvana has to be my favorite .,my favorite band is nirvana .,positive
how very cool . do you watch tv ? i play on a show called second life .,i love to play on second life .,positive
i like to listen to the band heart . what about you ?,i love the band heart .,positive
wow . i am a nurse . i can help you .,i cannot wait to get my first full time job as a nurse .,positive
maybe i have seen it . my sister helps me distinguish red from green .,"i cannot see colors correctly , therefore , i reside with my younger female sibling .",positive
i see . one time i made a unicorn cry . i told her we like meat .,i eat meat .,positive
listening to hip hop music .,i like hip hop .,positive
that is really good exercise moderation is best . like me i just drink water . . no alcohol .,i only drink water .,positive
i never even finished school !,i never finished high school .,positive
i love eating italian .,i like to eat italian cuisine .,positive
i graduated a few years ago .,i graduated from college last year .,positive
i knit baby hats for local hospitals !,i like to knit hats for babies in the hospital .,positive
not bad . currently writing my third novel . all about romance .,i write romance novels .,positive
yes in cozumel . he loves cats but hates my onions .,i love onions .,positive
i am a science fiction author .,i am a writer .,positive
as a teacher it is refreshing to watch the sea as i meditate . then swim .,i teach children in elementary school .,positive
i understand . my mom is a nurse so she pressured him into doing it for his health .,my mom is a nurse .,positive
i do not drive because i live in new york .,i live in new york and work as a model .,positive
i go eat when i am finished with taekwondo .,i have know taekwondo since i was a kid .,positive
i also have exotic fish .,i have an exotic fish aquarium .,positive
i am . my dad hates my books and i hate his cats .,i hate cats .,positive
haha . do they like heart songs ? heart is the best band .,i love the band heart .,positive
i sew quilts for relatives that are happier than i will ever be . retired banker .,i left my job in the bank industry to take it easy .,positive
you must not be interested no i want to write about fantasy .,i want to write fantasy books myself .,positive
"no , i do not have time because i am too busy looking for a job .",i cannot wait to get my first full time job as a nurse .,positive
ah . how about pets ? i have 3 one cat and two dogs .,i have two dogs and one cat .,positive
no . i am scared of animals and cannot have any in my small apartment .,i do not like animals .,positive
do you like football ? i really enjoy football on sundays .,i love watching football on sundays .,positive
"you are as much as a homebody as me , nice .",i am a homebody .,positive
okay . currently i moved in with my male siblings located in chicago .,i live with my two brothers in an apartment in chicago .,positive
hi ! how are you ? do you like poker ? it is my favorite card game .,poker is my favorite card game .,positive
so do you have a favorite singer ? mine is taylor swift .,my favorite singer is taylor swift .,positive
"i am married with kids , you ?",i am a married mother of a kids .,positive
i want to teach kindergarten . i am 22 and have lots of energy .,i am a 22 year old girl .,positive
too busy with the boys for much besides hiking .,i enjoy nature walks .,positive
"aww so sweet ! i have put relationships on hold , but someday i see kids in my life .",i want children badly but not right time in my life .,positive
i work in a hospital .,i work in labor and delivery .,positive
"hi , i love ralph my dog , sister lives with me also .",i live with my sister and my dog ralph .,positive
i could never be a vegetarian .,i eat meat .,positive
i am a hopeless bookworm .,when i have some spare time i read .,positive
are you a student ? i am .,i am a student .,positive
"i love cooking italian food . i have to be honest , i am a republican .",i love to cook .,positive
i am in college studying education .,i am in school studying oceanography .,positive
my three kids would not take to that . plus my cats keep me company .,i love cats .,positive
same . but right now is not the time in my life . boys or girls ?,i want children badly but not right time in my life .,positive
my dad is single . he is a doctor and i am his nurse in his practice .,i am a nurse .,positive
dancing is my passion ! i intend on going to the x factor in a few more years .,i enjoy tango and salsa i do it every chance i get .,positive
haha funny . i love dogs since i am a veterinarian .,hey there my name is jordan and i am a veterinarian .,positive
"we hike a lot , and then go to church on sunday . do you attend ?",i go to church every sunday .,positive
i love horses ! i love to get my nails done in my spare time .,horses are my favorite animal .,positive
same here . sci fi mostly . writing about a snake today .,i am afraid of spiders and snakes .,positive
i have a siamese cat .,my feline has the name of a desert state .,positive
i will take my dog to visit my folks in australia soon . will be interesting .,i love playing fetch with my dog .,positive
cool . i love eating hot noodles on cold days especially during holidays like christmas .,my favorite holiday is christmas .,positive
i have dinner with my family and then go out play with friends .,i love to hang out with my friends .,positive
ultimate frisbee you big silly .,my favorite sport is ultimate frisbee .,positive
hiking is good for you ! its tough for me though cause i am colorblind .,i am colorblind .,positive
i work in healthcare it is hard .,i work in the healthcare industry .,positive
"besides cooking , working out and music i like to go to the movies .",i work out every day .,positive
small world . i just left all my vintage cars in cali .,i also love vintage cars .,positive
that sounds fun . do you like to ride horses ?,i love to ride horses .,positive
i love the ocean me an my friends explore together .,i have dinner with my family and then go out play with friends .,positive
i enjoy riding my bike with my 2 dogs .,i have two dogs and one cat .,positive
i would go to the club but tomorrow is sunday and i always go to church .,i go to church every sunday .,positive
its a rock band named simple plan .,my favorite band is simple plan .,positive
hello i love living in new york .,i do not drive because i live in new york .,positive
"terrible , my father was just imprisoned for being a corrupt police officer .",my father was a police officer .,positive
i am an old man .,i was born a female but identify as male .,positive
"it is hard here on edris island , so many memories .",i live on edris island .,positive
"music theory . i love tupac , so i want to incorporate it into therapy sessions .",i love rap music .,positive
"no , but i am trying to design a device to find them . i happen to be an engineer .",i am an engineer .,positive
i am from a large family with 6 sisters and us 2 boys .,i am the youngest of the seven girls but am not the youngest in my family .,positive
i am a fitness fanatic although i am rather large .,i like to exercise to stay healthy .,positive
oklahoma nice and flat i do not like heights .,i am native american and live in oklahoma .,positive
yeah but i am single .,i enjoy not being involved with someone and being by myself .,positive
"i have gone to europe , france , and greece .",i enjoy new places .,positive
oh gosh i am so scared of dogs . how do you do it ?,i am afraid of dogs .,positive
i have a wife and three kids .,i am in a marriage with children .,positive
"she even tolerates me and my buddies playing poker , a cop sounds dangerous .",i like playing poker .,positive
that sounds fun . i spend my free time skating and surfing .,i am a surfer and a skater .,positive
is it blue fur ? that would be cool . its my favorite color .,my favorite color is blue .,positive
yes ! i have exotic fish and just finished cleaning their aquarium .,i have an exotic fish aquarium .,positive
"nothing much , i just got done finishing arctic exploring , ice fishing and stuff .",i used to be a geology teacher but got more interested in ice .,positive
i love to go clothes shopping . what about you ?,i love shopping for clothes .,positive
i am . i clean out cages for a research place .,my job is cleaning out cages at a research facility .,positive
nope . a man . like a 40 yr old man so . . . . . . .,i am 40 years old .,positive
that is cool . what is your favorite hobby ? mine is model cars .,my favorite hobby is model cars .,positive
"yea , i am really excited to get a job as a full time nurse .",i cannot wait to get my first full time job as a nurse .,positive
"too bad you should relax with a vintage scotch , like me .",i like to drink scotch to relax .,positive
i love shopping for clothes .,i love shopping fashion and clothes .,positive
music is great ! my mom teaches that . my dad just tends the farm .,my father owns a farm and my mother loves to teach .,positive
i am an established writer .,i am a sappy romantic novelist .,positive
i do work out . i am also a musician .,i am also a musician on the weekends .,positive
cool . does your mom like to shop ? i really enjoy going to the mall .,i enjoy going to the mall .,positive
i am a single lady in a new york apartment .,i rent an apartment .,positive
"yes , part time . however , i work with children or a pediatrician .",i am a pediatrician .,positive
"sounds awful . i would have a hard time living with my parents , especially my father .",my relationship with my father is strained .,positive
i have a father and a brother .,my father and mother both worked in fields that helped people .,positive
oh then you would like my onions .,i love onions .,positive
i work with a lot of kids in the healthcare industry .,i work in the healthcare industry .,positive
"same here , though i am coming from class . law school student .",i am in law school .,positive
i came into the world from south carolina .,i was born in south carolina .,positive
"i work at my mas restaurant part of the time , i have too much time .",my mother runs her own restaurant where i work part time .,positive
do you have a supportive family ? my husband is my world .,i have a husband who i love very much .,positive
great ! i have a sweet tooth .,i have a big sweet tooth .,positive
"i do at times , i mainly wanted pickles . the office is almost on .",my favorite tv show is the office .,positive
"oh , i like fitness too , but i am a big person . but it does not stop me .",as an bigger person i love to exercise .,positive
i am scared of heights .,i am afraid of heights .,positive
yes . god is able to do great things for people who have faith .,i love to help people .,positive
i had a best friend but she took my boyfriend . we no longer speak .,my best friend took my boyfriend in high school .,positive
not usually . my dog max does not care for music .,dogs are my favorite animal .,positive
"also , i have had the same best friend for 20 years .",i met my best friend in kindergarten .,positive
oh i already went . this place makes me exercise every day .,i work out every day .,positive
is that your passions cat ? i like to find long lost arctic explorers .,i strive to find long lost arctic explorers and return them home .,positive
sometimes ! my dad teaches it so i started young . i am only 12 .,i am an 12 year old girl .,positive
"that is really awesome ! my wife is a nurse , and my two children want to be doctors !",i am a child doctor .,positive
i enjoy working out daily .,i like to exercise to stay healthy .,positive
purple flowers vegetables basically almost everything .,my favorite color is purple .,positive
i have a wife and children .,i have a wife and three kids .,positive
"he is a country singer , but i bet he would write a great blog .",i like country music .,positive
my dog ginger watches the titantic movie with me every time its on .,i have a golden retriever named ginger .,positive
anywhere but here . i am stuck on my parents farm .,my father owns a farm and my mother loves to teach .,positive
"unfortunately , i cannot . i am too busy homeschooling my child .",i am homeschooling my child .,positive
i am from tennessee and i am a retired banker .,i am retired from banking .,positive
do you like classical music ?,"i listen to classical music , it is my favorite .",positive
"for sure , i like hanging out with friends as well .",i have dinner with my family and then go out play with friends .,positive
"that is ironic , my dad is named ray . he lives with my mom in australia .",my parents live in australia .,positive
you are so active ! i only walk my one mile a day haha .,i try and walk a mile a day .,positive
"not really , i am pretty shy . i like cats .",i am very shy .,positive
"fast food , i did not graduate high school so i do not have a good job .",i work in fast food .,positive
i do want to learn something new like drawing .,i want to learn how to draw .,positive
i just recently graduated i am looking .,i graduated from university .,positive
i also write diet cookbooks .,i am a science fiction author .,positive
i also enjoy cooking meals with food from our garden .,i like making barbecue .,positive
hello i like to travel .,one day i want to go all over the world .,positive
"i am good , just spending some time online .",i spend a lot of time online .,positive
"being homeschooled , i listen to a lot of kinds . it keeps me busy .",i am homeschooled .,positive
that is close to where the hospital is .,i work in a hospital .,positive
"yes , i travelled to spain in high school but then my best friend took my boyfriend .",my best friend took my boyfriend in high school .,positive
"i like tv too , but my husband is always complaining i need to exercise more .",i have a husband who i love very much .,positive
i only work part time right now at a restaurant that my mother owns .,my mother runs her own restaurant where i work part time .,positive
that s crazy . are you single because i am .,i am not dating anyone .,positive
i like music a lot . especially country .,i like to listen to country music .,positive
there are four people in my family . how about yours ?,my family has four people in it .,positive
"yes i have a dog , he is a husky and his name is ralph !",i live with my sister and my dog ralph .,positive
that is a healthy decision .,i love eating healthy .,positive
"hello , how are you ? my cats and dog are fine .",i have two cats and a dog .,positive
i play racquetball and listen to the oldies .,i like ot play racquetball .,positive
i work as an accountant .,i take care of all of my bosses filling needs .,positive
"yes , i am actually the lead singer .",i am the lead singer in a popular band .,positive
"hello , what is your favorite musician ? mine is john denver .",my favorite musician is john denver .,positive
i do not listen to country . i am a rap girl .,i love rap music .,positive
i just prefer a plain cheese pizza .,my favorite food is cheese pizza .,positive
no i am single . we divorced after i graduated college .,i graduated a few years ago .,positive
thanks . i worry about the environment sometimes too .,i am worried about the environment .,positive
i am not studying anymore i work in medical field as doctor .,my job is to save peoples lives .,positive
"i love to hunt an i have 3 guns , you ?",i have three guns and love hunting .,positive
i am doing well . i am just watching my favorite show called the office .,my favorite tv show is the office .,positive
"my mom is my secretary at my doctors office , we are super close .",my job is to save peoples lives .,positive
me too ! i do not like to work our or any physical activity really .,i do not like exercise or physical activity .,positive
i really enjoyed germany . though i hate leaving my dog home when i go abroad .,dogs are my favorite animal .,positive
english literature so i can be a better rapper .,i love rap music .,positive
"hello i am good , and yes i do would rather have them than kids tho .",i do not want kids .,positive
oh i only get online when i have time i am a pediatrician .,i am a pediatrician .,positive
"yes my brother , he just got married .",my brother just got married .,positive
nice . i went to medical school and became a pediatrician .,i am a pediatrician .,positive
in my spare time i sew .,i enjoy cross stitch and quilting .,positive
yeah i love all the aromas of the food while its cooking .,i love to cook .,positive
actually i drive a forklift . i lift weights to stay in shape .,i am a licensed hi lo driver .,positive
my mom was a nurse in the army .,my mother was an army nurse .,positive
"yeah , i like love actually , i watch it with my husband .",i have a husband who i love very much .,positive
i would like to be a fashion designer someday . i draw .,i want to be a fashion designer .,positive
"what kind do you like , me is country .",i like to listen to country music .,positive
"tracy here . i am 32 , live alone and scared of dogs .",i am scared of dogs .,positive
wow that is great . i just have my mom . she is a medical doctor .,the woman who gave birth to me is a physician .,positive
i have one dog and a couple of kids that might be considered pets lol .,i love playing fetch with my dog .,positive
"no , i work full time at a nursing home . i am a nurses aide .",i work as a nurses aide in a nursing home .,positive
i like board game and reading biographies you .,i enjoy reading biographies .,positive
that is a beautiful name for an animal .,my name is lucy .,positive
last year i graduated from college . how about you ?,i graduated from college last year .,positive
"yeah , dogs rock ! my parents were gone a lot but my dog was always there .",my parents were always gone when i was growing up .,positive
yummy . i drank a ton last week when i was at my friends wedding .,visited some pals recently when they got hitched .,positive
if no kids like me i have 2 with my husband go travel now .,i am married and have two kids of my own .,positive
"great , just got done doing some long distance running with my dog .",i have a german shepherd .,positive
"i have a degree in psychology from usc , but i am a professional singer .",i get paid to sing !,positive
"i do , it is my favorite . i feel you , i have two part time jobs .",i have two part time jobs .,positive
hi ! i hope you are having a lovely night . i like listening to tim mcgraw .,my favorite singer is tim mcgraw .,positive
i love to read fantasy and watch it too .,i am a huge fantasy fan .,positive
"good evening , i have a nice glass of scotch here , it has been a long day .",i like to drink scotch to relax .,positive
yes ! i love drama books and horror ones .,i devour dramatic lit .,positive
in nyc for a program that mentors troubled teens .,i work in a program that mentors troubled teens .,positive
i just graduated college and am still looking for a job .,i am a college graduate .,positive
much cooler than being an accountant !,i work as an accountant .,positive
i am an eccentric hair stylist for dogs .,i am a hair stylist .,positive
clothes . i am going to auburn for med school .,i am going to auburn university next year as a freshman .,positive
i like pink floyd but other kids my age not not into them .,i love pink floyd .,positive
i am still rocking to nirvana . i love animals !,my favorite band is nirvana .,positive
i have just been toying around with a new invention . automated bacon fryer !,i like to eat bacon .,positive
"at my moms healthcare job , they as well have an adopted cat .",my mother works in healthcare .,positive
"we are in the country , we live on a 500 acre horse ranch , .",i love to work with horses .,positive
yeah i work it off by hiking on weekends with the dog .,i enjoy nature walks .,positive
"haha , my face turns purple when i get around water , so scary .",my favorite color is purple .,positive
what is your favorite holiday . mine christmas .,my favorite holiday is christmas .,positive
"i see , i am married myself but i always wanted to have a big family .",i am in a marriage with children .,positive
canines make me shake with fear .,i am scared of dogs .,positive
i am actually in middle school .,i am in the 7th grade .,positive
oh cool ! my mom is a doctor so my parents travel a lot .,my mother is a medical doctor .,positive
"i am very tall , it is the only thing i can comfortably do .",i am big and tall .,positive
"are you a doctor , i work as an engineer in the army .",i am an engineer .,positive
sounds interesting . i would like to own my own horse ranch one day .,i love to work with horses .,positive
haha ! about as creative as me naming my dog max .,dogs are my favorite animal .,positive
i just study . i do not drink or party . i am studious and concentrate on my work .,i am very studious and do not like to party or drink .,positive
neat i follow the stock market carefully since becoming a stock broker .,i am a stock broker .,positive
now i have a big family i always wanted .,i have always wanted a big family .,positive
"i live there now , currently watching the office .",my favorite tv show is the office .,positive
hi i am from wisconsin and i do management consulting .,i grew up in wisconsin .,positive
i wanted to have a big family too and i ended up with 7 children .,i have as many kids as snow white had dwarfs .,positive
i believe in god .,i am very religious .,positive
the fish and other sea creatures are friends of mine .,i love exploring with my sea creatures are my friends .,positive
my wheelchair can go very fast many terrains .,i have a wheelchair that is modded to go very fast over many terrains .,positive
i write a lot about my faith . i am jewish . advertising . that is not interesting .,i got a job working in advertising last year .,positive
auburn . i thought i would study fashion but i think will become a doctor .,i want to be a doctor when i grow up .,positive
"oh you know , just the late was .",i was born in the late was .,positive
that is funny . i sometimes fake a british accent to be funny and attractive .,i fake a british accent to seem more attractive .,positive
hey ! i just got back from working at the grocery store .,i work in a grocery store .,positive
wow ! i have always wanted to be a fashion designer .,i want to be a fashion designer .,positive
"sounds slightly personal , in the hospital where i work topics change .",i work in a hospital .,positive
hello i am ray i am 20 years old .,i am a twenty year old male .,positive
"yeah , everyone used to make fun of me in high school when i worked at hollister .",i worked at hollister in high school .,positive
i understand i am a alumni of usc .,l graduated from usc .,positive
no but i have fish which i consider to be my kids .,i have an exotic fish aquarium .,positive
"i have never had a manicure . my job is in a factory , hard on the hands .",i work in a factory .,positive
oh my wife wanted to do the same thing . cooking is my passion .,i love to cook .,positive
"nice , i specialize in computer science degree so i mostly mold 3d images .",i have a computer science degree .,positive
i am a student now but one day soon i hope to be a lawyer .,i am studying to be a lawyer .,positive
yes ! ! ! i also love playing board games . they never make me bored .,my favorite hobby is playing board games .,positive
i want to be an actor when i grow up .,i want to be a star on tv shows and movies .,positive
i am in school to be a nurse .,i cannot wait to get my first full time job as a nurse .,positive
good . i am married two children .,i am married with a kids .,positive
i have a lot of free time being single and living alone .,i enjoy not being involved with someone and being by myself .,positive
cool . . . i just had dinner with my parents and my sister .,my parents are together and i have a sibling .,positive
"i enjoy having dinner with my family , how about you ?",i have dinner with my family and then go out play with friends .,positive
it happened when my father and brother went skiing . i would rather eat sushi .,i have my dad and my bro .,positive
"oh , i am a teacher .",i teach biology at a college .,positive
i have a mustang convertible and married with a son .,i drive a convertible mustang .,positive
"it is nice to have a hobby like that , i like to sing in a choir .",i like to sing in choir .,positive
"my fiance is into hard rock , i like oldies , but we make it work .",i enjoy oldies music .,positive
i enjoy cooking meals for my family and reading .,i am a hopeless bookworm .,positive
"oh , i m just a simple cat person .",i love cats .,positive
"this is my fav time of the year , i read drama books , what you do for fun .",i devour dramatic lit .,positive
"yes , after the gym maybe .",i go to the gym a days a week .,positive
"i do , as long as there are no dogs there . they terrify me .",i am scared of dogs .,positive
"so people say , but degrees do not mean jobs magically appear .",my parents did not want me .,positive
i have my certification for nursing .,i have just completed my education as registered nurse .,positive
yeah i might probably visit but i work very busy at my moms restaurant part time .,my mother runs her own restaurant where i work part time .,positive
oh i like walking too !,i take a lot of walks .,positive
"i am a bit of a carpenter , so it is the opposite of what i am used to .",i am a carpenter .,positive
i am doing great ! i am just currently exploring with my sea creature friends !,i love exploring with my sea creatures are my friends .,positive
i like to eat italian cuisine .,i love eating italian .,positive
do you like to drink scotch ?,i like to drink scotch to relax .,positive
i dropped out of school to support them with money from band .,i am the lead singer in a popular band .,positive
i spend most of my time on clothing designs . that is my hobby .,i like making my own clothing .,positive
i am afraid of not being able to pay my bills .,i can barely pay my bills every month .,positive
i like soccer . i like watching it on tv .,my favorite sport is soccer .,positive
i just found out my friend is getting married . i do not know if that is good or bad .,last weeks i was at a friends wedding .,positive
"i have been building tree houses for over 40 years now , the tree is safe . .",i am 40 years old .,positive
i like cooking and spending time walking my dog . his name is charlie .,i love playing fetch with my dog .,positive
only football . we can eat cheese pizza though .,i enjoy nfl games at the beginning of the week .,positive
"reading poetry , and stickers .",i read a lot of poetry .,positive
"i used to go camping in arizona , that is why named my cat arizona .",my feline has the name of a desert state .,positive
oh ! i do not like cold . i like reading .,i like reading paranormal romances .,positive
i met my husband at taekwondo class . he is chinese .,i have know taekwondo since i was a kid .,positive
when i get off i am going to go running and listen to nirvana the greatest band ever .,i like running .,positive
"i work as a veterinarian , little money , but i have good running shoes .",hey there my name is jordan and i am a veterinarian .,positive
oldies are okay . the office is starting soon on tv . cant wait !,my favorite tv show is the office .,positive
charlie is an australian sheppard .,my parents live in australia .,positive
great just working at pet smart .,i work at pet smart .,positive
i am good too . i have a dream to be a fashion designer .,i want to be a fashion designer .,positive
mcdonalds is not cutting it anymore . nurse takes to long .,i work at mcdonald s .,positive
i have some pretty big doggies . they will love you as much as i do .,i really enjoy throwing round discs to my dogs .,positive
i live in an apartment in a city .,i rent an apartment .,positive
"i like to paint , i use purple a lot ! it is by far my favorite color .",my favorite color is purple .,positive
i go climbing but am scared of heights .,i am afraid of heights .,positive
